"CONSOLIDATED STATEMENTS OF STOCKHOLDERS' EQUITY - USD ($) shares in Thousands, $ in Thousands",Total,Common Stock,Additional Paid-in Capital,Accumulated Other Comprehensive Loss,Accumulated Deficit
"Balance, beginning of period at Dec. 31, 2013",, $ 3 ," $ 3,944,952 ", $ (323)," $ (994,626)"
"Balance, beginning of period, shares at Dec. 31, 2013",," 569,922 ",,,
"Issuance of common stock in connection with RSU vesting, shares",," 42,748 ",,,
Issuance of common stock in connection with acquisitions,,," 147,958 ",,
"Issuance of common stock in connection with acquisitions, shares",," 3,326 ",,,
"Issuance of restricted stock in connection with acquisitions accounted for as stock-based compensation, shares",," 2,337 ",,,
Exercise of stock options,,," 28,881 ",,
"Exercise of stock options, shares",," 22,447 ",,,
Issuance of common stock upon purchases under employee stock purchase plan,,," 42,402 ",,
"Issuance of common stock upon purchases under employee stock purchase plan, shares",," 1,887 ",,,
Shares withheld related to net share settlement of equity awards,,,"(17,053)",,
"Shares withheld related to net share settlement of equity awards, shares",,(307),,,
Stock-based compensation,,," 672,371 ",,
"Equity component of the convertible note issuance, net",,," 505,982 ",,
Purchase of convertible note hedge,,,"(407,169)",,
Issuance of warrants,,," 289,272 ",,
Other activities,,," 1,274 ",,
"Other activities, shares",, 25 ,,,
Other comprehensive income (loss)," $ (9,701)",,,"(9,701)",
Net loss,"(577,820)",,,,"(577,820)"
"Balance, end of period at Dec. 31, 2014"," $ 3,626,403 ", $ 3 ," 5,208,870 ","(10,024)","(1,572,446)"
"Balance, end of period, shares at Dec. 31, 2014"," 642,385 "," 642,385 ",,,
"Issuance of common stock in connection with RSU vesting, shares",," 24,002 ",,,
Issuance of common stock in connection with acquisitions,,," 516,538 ",,
"Issuance of common stock in connection with acquisitions, shares",," 13,613 ",,,
"Issuance of restricted stock in connection with acquisitions accounted for as stock-based compensation, shares",," 2,533 ",,,
Exercise of stock options,,," 17,914 ",,
"Exercise of stock options, shares",," 10,992 ",,,
Issuance of common stock upon purchases under employee stock purchase plan,,," 39,295 ",,
"Issuance of common stock upon purchases under employee stock purchase plan, shares"," 1,500 "," 1,525 ",,,
Shares withheld related to net share settlement of equity awards,,,"(11,101)",,
"Shares withheld related to net share settlement of equity awards, shares",,(281),,,
Stock-based compensation,,," 729,193 ",,
Other activities,,," 6,378 ",,
"Other activities, shares",,(637),,,
Other comprehensive income (loss)," $ (35,542)",,,"(35,542)",
Net loss,"(521,031)",,,,"(521,031)"
"Balance, end of period at Dec. 31, 2015"," $ 4,368,047 ", $ 3 ," 6,507,087 ","(45,566)","(2,093,477)"
"Balance, end of period, shares at Dec. 31, 2015"," 694,132 "," 694,132 ",,,
Issuance of common stock in connection with RSU vesting,, $ 1 ,,,
"Issuance of common stock in connection with RSU vesting, shares",," 26,909 ",,,
Issuance of common stock in connection with acquisitions,,, 735 ,,
"Issuance of common stock in connection with acquisitions, shares",, 41 ,,,
"Issuance of restricted stock in connection with acquisitions accounted for as stock-based compensation, shares",," 3,364 ",,,
Exercise of stock options,,," 7,714 ",,
"Exercise of stock options, shares"," 2,864 "," 2,864 ",,,
Issuance of common stock upon purchases under employee stock purchase plan,,," 24,431 ",,
"Issuance of common stock upon purchases under employee stock purchase plan, shares"," 2,000 "," 2,039 ",,,
Shares withheld related to net share settlement of equity awards,,,"(15,598)",,
"Shares withheld related to net share settlement of equity awards, shares",,(878),,,
Cancellation of shares contributed by the CEO,,"(6,814)",,,
Stock-based compensation,,," 695,525 ",,
Other activities,,," 4,640 ",,
"Other activities, shares",,(85),,,
Other comprehensive income (loss)," $ (23,687)",,,"(23,687)",
Net loss,"(456,873)",,,,"(456,873)"
"Balance, end of period at Dec. 31, 2016"," $ 4,604,935 ", $ 4 ," $ 7,224,534 "," $ (69,253)"," $ (2,550,350)"
"Balance, end of period, shares at Dec. 31, 2016"," 721,572 "," 721,572 ",,,